accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,roc_auc,pr_auc,dataset,task,scheme,fold,model,n_train,n_test,excluded_test_frac,n_classes_seen,fit_seconds
0.9997,0.9997,0.1667,0.1666,0.1666,,,cicids2017,multi,temporal,1,XGBoost,1178685,615538,0.2505,8,251.9
0.995,0.995,0.125,0.1244,0.1247,,,cicids2017,multi,temporal,1,LightGBM,1178685,615538,0.2505,8,117.0
0.9997,0.9997,0.1667,0.1666,0.1666,,,cicids2017,multi,temporal,1,RandomForest,1178685,615538,0.2505,8,193.6
0.9997,0.9997,0.1429,0.1428,0.1428,,,cicids2017,multi,temporal,2,XGBoost,1502844,292955,0.4107,12,465.4
0.9857,0.9857,0.0833,0.0821,0.0827,,,cicids2017,multi,temporal,2,LightGBM,1502844,292955,0.4107,12,183.1
0.9998,0.9998,0.25,0.2499,0.25,,,cicids2017,multi,temporal,2,RandomForest,1502844,292955,0.4107,12,270.9
0.9997,0.9997,0.1429,0.1428,0.1428,,,cicids2017,multi,group,1,XGBoost,1502844,292955,0.4107,12,469.5
0.9857,0.9857,0.0833,0.0821,0.0827,,,cicids2017,multi,group,1,LightGBM,1502844,292955,0.4107,12,183.0
0.9998,0.9998,0.25,0.2499,0.25,,,cicids2017,multi,group,1,RandomForest,1502844,292955,0.4107,12,270.2
0.9999,0.9999,0.1429,0.1428,0.1429,,,cicids2017,multi,group,2,XGBoost,1510874,310667,0.3649,10,387.2
0.9976,0.9976,0.1429,0.1425,0.1427,,,cicids2017,multi,group,2,LightGBM,1510874,310667,0.3649,10,168.0
1.0,1.0,0.25,0.25,0.25,,,cicids2017,multi,group,2,RandomForest,1510874,310667,0.3649,10,200.3
0.9991,0.9991,0.1667,0.1665,0.1666,,,cicids2017,multi,group,3,XGBoost,1625526,374474,0.0,15,644.6
0.9694,0.9694,0.0769,0.0746,0.0757,,,cicids2017,multi,group,3,LightGBM,1625526,374474,0.0,15,238.8
0.9994,0.9994,0.1667,0.1666,0.1666,,,cicids2017,multi,group,3,RandomForest,1625526,374474,0.0,15,277.2
0.9479,0.9479,0.1429,0.1354,0.139,,,cicids2017,multi,group,4,XGBoost,1675841,322583,0.0049,11,505.3
0.8945,0.8945,0.0909,0.0813,0.0858,,,cicids2017,multi,group,4,LightGBM,1675841,322583,0.0049,11,188.5
0.9974,0.9974,0.125,0.1247,0.1248,,,cicids2017,multi,group,4,RandomForest,1675841,322583,0.0049,11,278.8
0.9987,0.9987,0.125,0.1248,0.1249,,,cicids2017,multi,group,5,XGBoost,1684915,305328,0.031,13,579.2
0.9956,0.9956,0.3333,0.3319,0.3326,,,cicids2017,multi,group,5,LightGBM,1684915,305328,0.031,13,225.8
0.9936,0.9936,0.25,0.2484,0.2492,,,cicids2017,multi,group,5,RandomForest,1684915,305328,0.031,13,301.4
