accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,dataset,task,model,config,fold,n_train,backend,converged,fit_seconds
0.9921,0.983,0.9813,0.983,0.9822,unsw_nb15,binary,MLP,default,2,1333333,sklearn,True,23.7
0.9881,0.993,0.9572,0.993,0.9742,unsw_nb15,binary,MLP,weighted_loss,2,1333333,sklearn,True,21.7
0.9942,0.9863,0.9875,0.9863,0.9869,unsw_nb15,binary,RandomForest,default,3,1333334,sklearn,,88.7
0.9924,0.992,0.9747,0.992,0.9831,unsw_nb15,binary,RandomForest,balanced_resample,3,1333334,sklearn,,99.8
0.9877,0.9902,0.9576,0.9902,0.9731,unsw_nb15,binary,SVM,default,3,50000,sklearn,True,75.9
0.9877,0.9929,0.9557,0.9929,0.9733,unsw_nb15,binary,SVM,balanced_resample,3,50000,sklearn,False,63.2
0.9925,0.9825,0.9836,0.9825,0.983,unsw_nb15,binary,MLP,default,3,1333334,sklearn,True,34.4
0.988,0.993,0.9566,0.993,0.9738,unsw_nb15,binary,MLP,weighted_loss,3,1333334,sklearn,True,23.4
0.9813,0.5388,0.69,0.5388,0.5659,unsw_nb15,multi,RandomForest,default,1,1333333,sklearn,,105.1
0.9711,0.6043,0.5711,0.6043,0.567,unsw_nb15,multi,RandomForest,balanced_resample,1,1333333,sklearn,,159.4
0.9685,0.3011,0.3184,0.3011,0.2839,unsw_nb15,multi,SVM,default,1,50000,sklearn,True,161.5
0.961,0.4987,0.3854,0.4987,0.3938,unsw_nb15,multi,SVM,balanced_resample,1,50000,sklearn,False,1968.3
0.9785,0.4604,0.5992,0.4604,0.4823,unsw_nb15,multi,MLP,default,1,1333333,sklearn,True,62.1
0.9676,0.6615,0.4616,0.6615,0.485,unsw_nb15,multi,MLP,weighted_loss,1,1333333,sklearn,True,37.3
0.9813,0.5458,0.7221,0.5458,0.5762,unsw_nb15,multi,RandomForest,default,2,1333333,sklearn,,104.3
0.9713,0.6143,0.5861,0.6143,0.5808,unsw_nb15,multi,RandomForest,balanced_resample,2,1333333,sklearn,,177.9
0.9687,0.3063,0.2789,0.3063,0.284,unsw_nb15,multi,SVM,default,2,50000,sklearn,True,161.7
0.9613,0.4895,0.3918,0.4895,0.3994,unsw_nb15,multi,SVM,balanced_resample,2,50000,sklearn,False,2123.9
0.9785,0.4565,0.5933,0.4565,0.4614,unsw_nb15,multi,MLP,default,2,1333333,sklearn,True,49.3
0.9691,0.6831,0.4732,0.6831,0.4995,unsw_nb15,multi,MLP,weighted_loss,2,1333333,sklearn,True,61.8
0.9812,0.5498,0.7079,0.5498,0.5829,unsw_nb15,multi,RandomForest,default,3,1333334,sklearn,,107.7
0.9711,0.6189,0.5777,0.6189,0.5776,unsw_nb15,multi,RandomForest,balanced_resample,3,1333334,sklearn,,183.3
0.9685,0.3111,0.3733,0.3111,0.293,unsw_nb15,multi,SVM,default,3,50000,sklearn,True,159.2
0.96,0.5241,0.381,0.5241,0.3972,unsw_nb15,multi,SVM,balanced_resample,3,50000,sklearn,False,2119.0
0.9782,0.4454,0.6777,0.4454,0.4556,unsw_nb15,multi,MLP,default,3,1333334,sklearn,True,47.8
0.9646,0.6545,0.4537,0.6545,0.4529,unsw_nb15,multi,MLP,weighted_loss,3,1333334,sklearn,True,28.5
0.9979,0.9963,0.9972,0.9963,0.9967,cicids2017,binary,RandomForest,default,1,1333333,sklearn,,232.1
0.9979,0.9979,0.9955,0.9979,0.9967,cicids2017,binary,RandomForest,balanced_resample,1,1333333,sklearn,,191.8
0.9312,0.8867,0.894,0.8867,0.8903,cicids2017,binary,SVM,default,1,50000,sklearn,False,730.3
0.8724,0.9097,0.8013,0.9097,0.8322,cicids2017,binary,SVM,balanced_resample,1,50000,sklearn,False,775.5
0.9882,0.9815,0.9812,0.9815,0.9814,cicids2017,binary,MLP,default,1,1333333,sklearn,True,82.3
0.9856,0.989,0.9675,0.989,0.9778,cicids2017,binary,MLP,weighted_loss,1,1333333,sklearn,True,89.1
0.9981,0.9967,0.9974,0.9967,0.9971,cicids2017,binary,RandomForest,default,2,1333333,sklearn,,212.1
0.9981,0.9981,0.9958,0.9981,0.997,cicids2017,binary,RandomForest,balanced_resample,2,1333333,sklearn,,156.8
0.9293,0.8848,0.8902,0.8848,0.8875,cicids2017,binary,SVM,default,2,50000,sklearn,False,632.9
0.6775,0.7883,0.6825,0.7883,0.6468,cicids2017,binary,SVM,balanced_resample,2,50000,sklearn,False,658.4
0.9784,0.9693,0.963,0.9693,0.9661,cicids2017,binary,MLP,default,2,1333333,sklearn,True,50.8
0.9664,0.9741,0.9296,0.9741,0.9496,cicids2017,binary,MLP,weighted_loss,2,1333333,sklearn,True,31.6
0.9983,0.9971,0.9975,0.9971,0.9973,cicids2017,binary,RandomForest,default,3,1333334,sklearn,,218.8
0.9977,0.9978,0.9949,0.9978,0.9964,cicids2017,binary,RandomForest,balanced_resample,3,1333334,sklearn,,183.8
