dataset,fold,attack_class,n_class_total,outcome,n_samples,top_features
ton_iot,4,injection,20000,correct,196,src_bytes=2.9351; dst_bytes=1.9603; conn_state=0.6864; duration=0.6468; src_pkts=0.2680
ton_iot,4,injection,20000,misclassified,4,conn_state=1.3191; src_bytes=1.0420; duration=0.7797; src_pkts=0.5890; dst_pkts=0.2371
ton_iot,5,mitm,1043,correct,174,dns_ra=1.5498; dst_bytes=0.8842; src_bytes=0.7720; src_pkts=0.6998; service=0.6283
ton_iot,5,mitm,1043,misclassified,26,dns_ra=0.9645; duration=0.8132; dst_bytes=0.6928; src_bytes=0.5622; dst_pkts=0.3987
ton_iot,5,backdoor,20000,correct,166,conn_state=1.3831; duration=0.9317; src_pkts=0.1736; dst_pkts=0.0779; service=0.0615
ton_iot,5,backdoor,20000,misclassified,34,conn_state=1.0867; duration=0.5540; src_pkts=0.1825; dst_pkts=0.0686; service=0.0300
ton_iot,5,dos,20000,correct,147,conn_state=1.4372; src_pkts=0.7555; duration=0.5263; dst_pkts=0.2676; dns_ra=0.1757
ton_iot,5,dos,20000,misclassified,53,conn_state=1.2892; duration=0.2189; src_pkts=0.1501; src_bytes=0.0702; dns_query=0.0545
ton_iot,5,ddos,20000,correct,193,conn_state=2.4183; duration=0.7553; src_pkts=0.5211; dns_rcode=0.5063; dns_query=0.3969
ton_iot,5,ddos,20000,misclassified,7,dst_pkts=0.5217; dns_rd=0.2827; duration=0.2650; src_pkts=0.2619; dns_query=0.2490
ton_iot,5,injection,20000,correct,193,src_bytes=3.0692; dst_bytes=1.8270; duration=0.7520; conn_state=0.6312; dst_pkts=0.3126
ton_iot,5,injection,20000,misclassified,7,src_bytes=0.9032; conn_state=0.6836; dst_pkts=0.5287; src_pkts=0.4045; duration=0.2962
unsw_nb15,1,Worms,138,correct,13,smeansz=1.9087; tcprtt=1.5888; dttl=1.1665; synack=1.0473; sbytes=0.8740
unsw_nb15,1,Worms,138,misclassified,14,smeansz=1.7333; tcprtt=1.2250; synack=0.7282; dttl=0.6942; sbytes=0.6670
unsw_nb15,1,Shellcode,1187,correct,126,sttl=1.5631; ct_dst_src_ltm=1.3783; smeansz=1.1597; sbytes=0.7660; ackdat=0.3940
unsw_nb15,1,Shellcode,1187,misclassified,74,smeansz=0.7192; ackdat=0.6734; ct_dst_src_ltm=0.6704; sttl=0.6656; sbytes=0.4896
unsw_nb15,1,Backdoor,1815,correct,19,dmeansz=1.7301; smeansz=1.1787; service=0.9921; ct_state_ttl=0.6958; sttl=0.6955
unsw_nb15,1,Backdoor,1815,misclassified,181,proto=1.1666; sttl=0.5825; ct_state_ttl=0.4780; service=0.2729; sbytes=0.2355
unsw_nb15,1,Analysis,2115,correct,10,tcprtt=1.2967; ct_flw_http_mthd=1.0507; sttl=0.9189; res_bdy_len=0.5810; dmeansz=0.4395
unsw_nb15,1,Analysis,2115,misclassified,190,proto=0.9496; sttl=0.7965; smeansz=0.4882; ct_state_ttl=0.3306; tcprtt=0.1995
unsw_nb15,1,Reconnaissance,11085,correct,160,sbytes=2.3869; sttl=1.8563; smeansz=1.0128; dttl=0.8993; ct_dst_src_ltm=0.5246
unsw_nb15,1,Reconnaissance,11085,misclassified,40,sttl=0.8949; sbytes=0.4051; ct_state_ttl=0.3683; service=0.2588; ct_dst_src_ltm=0.2441
unsw_nb15,2,Worms,138,correct,11,dttl=1.7613; smeansz=1.5061; synack=1.2958; sbytes=1.1877; sttl=0.9554
unsw_nb15,2,Worms,138,misclassified,16,sbytes=0.8537; sttl=0.8316; dttl=0.8305; smeansz=0.7884; service=0.6806
unsw_nb15,2,Shellcode,1187,correct,137,sttl=1.4616; smeansz=1.3003; ct_dst_src_ltm=1.2896; sbytes=0.8154; service=0.4354
unsw_nb15,2,Shellcode,1187,misclassified,63,smeansz=0.7424; ct_dst_src_ltm=0.6371; sttl=0.6265; service=0.4665; ackdat=0.4608
unsw_nb15,2,Backdoor,1815,correct,13,dmeansz=1.8912; smeansz=1.0299; sttl=0.8315; ct_state_ttl=0.5443; ct_dst_src_ltm=0.4510
unsw_nb15,2,Backdoor,1815,misclassified,187,proto=1.0649; sttl=0.6482; ct_state_ttl=0.5253; sbytes=0.2918; service=0.2575
unsw_nb15,2,Analysis,2115,correct,8,tcprtt=1.5486; ct_flw_http_mthd=1.4148; res_bdy_len=0.6074; sttl=0.5382; ct_state_ttl=0.4709
unsw_nb15,2,Analysis,2115,misclassified,192,proto=1.1927; ct_state_ttl=0.5918; smeansz=0.4620; sttl=0.4512; ct_ftp_cmd=0.1378
unsw_nb15,2,Reconnaissance,11085,correct,143,sbytes=2.2762; sttl=1.6584; dttl=1.0422; smeansz=1.0089; ct_dst_src_ltm=0.4900
unsw_nb15,2,Reconnaissance,11085,misclassified,57,sttl=0.9009; ct_state_ttl=0.3700; sbytes=0.3026; ct_dst_src_ltm=0.2757; service=0.2561
unsw_nb15,3,Worms,138,correct,11,synack=1.6467; dttl=1.4089; smeansz=1.2371; sbytes=1.1091; service=0.8052
unsw_nb15,3,Worms,138,misclassified,17,smeansz=1.1594; synack=1.1031; sbytes=1.0336; dttl=0.7791; service=0.6087
unsw_nb15,3,Shellcode,1187,correct,145,ct_dst_src_ltm=1.2452; sttl=1.1981; smeansz=1.0822; sbytes=0.9984; ct_state_ttl=0.5799
unsw_nb15,3,Shellcode,1187,misclassified,55,smeansz=0.6180; ct_dst_src_ltm=0.6134; sjit=0.5905; dttl=0.5803; ct_state_ttl=0.4926
unsw_nb15,3,Backdoor,1815,correct,19,dmeansz=1.5459; smeansz=1.1474; service=0.8558; sttl=0.6864; ct_state_ttl=0.5150
unsw_nb15,3,Backdoor,1815,misclassified,181,proto=1.1332; sttl=0.6369; ct_state_ttl=0.4315; service=0.2607; smeansz=0.2370
unsw_nb15,3,Analysis,2115,correct,9,ct_flw_http_mthd=1.5018; tcprtt=1.3735; sttl=0.7254; res_bdy_len=0.7230; ct_state_ttl=0.4637
unsw_nb15,3,Analysis,2115,misclassified,191,proto=1.1772; sttl=0.5974; ct_state_ttl=0.4868; smeansz=0.4755; tcprtt=0.1815
